code;Auxillary_items;key
au01;В данном пункте, отметьте, пожалуйста, вариант ответа «абсолютно не согласен»;0
au02;«Согласен» — это тот вариант ответа, который необходимо указать в данном пункте;4
au03;Укажите, пожалуйста, вариант «скорее согласен» в качестве ответа на данное утверждение;3
au04;В данном пункте, отметьте, пожалуйста, вариант ответа «не согласен»;1
au05;«Скорее не согласен» — это тот вариант ответа, который необходимо указать в данном пункте;2
au06;В качестве ответа на данное утверждение необходимо указать вариант «абсолютно согласен»;5
au07;В данном пункте, отметьте, пожалуйста, вариант ответа «скорее согласен»;3
au08;«Не согласен» — это тот вариант ответа, который необходимо указать в данном пункте;1
au09;Укажите, пожалуйста, вариант «абсолютно согласен» в качестве ответа на данное утверждение;5
au10;В данном пункте, отметьте, пожалуйста, вариант ответа «скорее согласен»;3
au11;«Абсолютно согласен» — это тот вариант ответа, который необходимо указать в данном пункте;5
au12;В качестве ответа на данное утверждение необходимо указать вариант «абсолютно не согласен»;0
au13;В данном пункте, отметьте, пожалуйста, вариант ответа «не согласен»;1
au14;В качестве ответа на данное утверждение необходимо указать вариант «согласен»;4
au15;Вариант, который необходимо указать в данном пункте — это «скорее не согласен»;2